City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
Santa Lucía,20,ES,10/18/2020,83,69.8,27.91,-15.54,8.05
Punta Arenas,40,CL,10/18/2020,70,42.8,-53.15,-70.92,31.09
Sri Aman,87,MY,10/18/2020,100,71.6,1.24,111.46,1.12
Ballina,75,AU,10/18/2020,100,63.0,-28.87,153.57,9.1
Longyearbyen,20,SJ,10/18/2020,73,26.6,78.22,15.64,8.05
Jamestown,90,US,10/18/2020,50,57.0,42.1,-79.24,14.99
Rikitea,100,PF,10/18/2020,81,74.86,-23.12,-134.97,18.5
Bluff,100,NZ,10/18/2020,96,48.99,-46.6,168.33,1.99
High Prairie,0,CA,10/18/2020,76,26.13,55.43,-116.49,0.92
Husavik,90,IS,10/18/2020,80,41.0,66.04,-17.34,17.22
Heraclea,3,TR,10/18/2020,49,59.4,37.51,34.05,2.71
Chara,93,RU,10/18/2020,89,18.97,56.91,118.26,0.38
Esperance,90,AU,10/18/2020,100,51.8,-33.87,121.9,8.05
Ushuaia,75,AR,10/18/2020,80,41.0,-54.8,-68.3,29.97
Hobart,75,AU,10/18/2020,66,51.01,-42.88,147.33,4.12
Evensk,100,RU,10/18/2020,94,34.92,61.95,159.23,2.66
Dali,98,CN,10/18/2020,89,58.14,25.7,100.18,3.04
Bredasdorp,100,ZA,10/18/2020,77,60.8,-34.53,20.04,1.12
Atuona,4,PF,10/18/2020,75,77.9,-9.8,-139.03,20.69
Hithadhoo,100,MV,10/18/2020,76,83.35,-0.6,73.08,14.9
Dod Ballāpur,75,IN,10/18/2020,100,71.6,13.29,77.54,1.12
Yellowknife,90,CA,10/18/2020,86,28.0,62.46,-114.35,6.93
Rovinj,0,HR,10/18/2020,87,48.2,45.08,13.64,3.36
Dikson,99,RU,10/18/2020,90,27.95,73.51,80.55,29.91
Sirte,100,LY,10/18/2020,69,72.07,31.21,16.59,17.65
Lompoc,1,US,10/18/2020,60,75.2,34.64,-120.46,13.87
Kumul,63,CN,10/18/2020,53,42.91,42.8,93.45,1.68
Araranguá,19,BR,10/18/2020,69,72.18,-28.93,-49.49,13.33
Tuktoyaktuk,20,CA,10/18/2020,92,15.8,69.45,-133.04,3.36
Mothīhāri,0,IN,10/18/2020,63,73.22,26.65,84.92,2.82
Nemuro,0,JP,10/18/2020,69,53.4,43.32,145.57,14.45
Dalbandin,0,PK,10/18/2020,31,54.14,28.89,64.41,5.44
Butaritari,100,KI,10/18/2020,72,82.11,3.07,172.79,18.86
Lethem,92,GY,10/18/2020,48,89.8,3.38,-59.8,1.39
Yulara,90,AU,10/18/2020,93,66.2,-25.24,130.99,11.41
Arraial do Cabo,40,BR,10/18/2020,73,73.4,-22.97,-42.03,16.11
Barrow,1,US,10/18/2020,79,21.2,71.29,-156.79,16.11
Avarua,92,CK,10/18/2020,74,78.8,-21.21,-159.78,8.05
Henties Bay,0,NA,10/18/2020,89,60.01,-22.12,14.28,3.0
Busselton,0,AU,10/18/2020,58,57.0,-33.65,115.33,8.19
Tunceli,29,TR,10/18/2020,30,53.6,39.11,39.55,6.93
Güzelyurt,40,TR,10/18/2020,72,59.0,38.28,34.37,9.17
Thompson,75,CA,10/18/2020,80,30.2,55.74,-97.86,6.93
Biak,94,ID,10/18/2020,81,76.01,-0.91,122.88,5.5
Mataura,100,NZ,10/18/2020,96,48.99,-46.19,168.86,1.99
Chokurdakh,93,RU,10/18/2020,98,19.08,70.63,147.92,6.42
Luba,40,GQ,10/18/2020,100,77.0,3.46,8.55,4.7
Kavieng,61,PG,10/18/2020,74,83.03,-2.57,150.8,9.6
Santa Maria,0,BR,10/18/2020,56,78.64,-29.68,-53.81,4.68
Pisco,90,PE,10/18/2020,77,66.2,-13.7,-76.22,8.05
Carnarvon,75,AU,10/18/2020,88,68.0,-24.87,113.63,12.75
Egvekinot,90,RU,10/18/2020,88,25.59,66.32,-179.17,4.38
Praia,60,CV,10/18/2020,83,80.6,14.92,-23.51,4.7
Nikolskoye,90,RU,10/18/2020,86,37.4,59.7,30.79,6.71
